  6272   6096
    1      0.5000000   -30.0000000
    2      0.5000000    -6.0000000
    3      0.0000000    -6.5000000
    4      0.0000000   -30.0000000
    5      0.5000000    30.0000000
    6      0.5000000     6.0000000
    7     50.0000000     6.0000000
    8     50.0000000    30.0000000
    9     -0.5000000    30.0000000
   10     -0.5000000     6.0000000
   11      0.0000000     6.5000000
   12      0.0000000    30.0000000
   13     -0.5000000   -30.0000000
   14     -0.5000000    -6.0000000
   15    -50.0000000    -6.0000000
   16    -50.0000000   -30.0000000
   17     50.0000000   -30.0000000
   18     50.0000000    -6.0000000
   19    -50.0000000     6.0000000
   20    -50.0000000    30.0000000
   21      0.5000000   -29.0000000
   22      0.5000000   -28.0000000
   23      0.5000000   -27.0000000
   24      0.5000000   -26.0000000
   25      0.5000000   -25.0000000
   26      0.5000000   -24.0000000
   27      0.5000000   -23.0000000
   28      0.5000000   -22.0000000
   29      0.5000000   -21.0000000
   30      0.5000000   -20.0000000
   31      0.5000000   -19.0000000
   32      0.5000000   -18.0000000
   33      0.5000000   -17.0000000
   34      0.5000000   -16.0000000
   35      0.5000000   -15.0000000
   36      0.5000000   -14.0000000
   37      0.5000000   -13.0000000
   38      0.5000000   -12.0000000
   39      0.5000000   -11.0000000
   40      0.5000000   -10.0000000
   41      0.5000000    -9.0000000
   42      0.5000000    -8.0000000
   43      0.5000000    -7.0000000
   44      0.0000000    -7.4791665
   45      0.0000000    -8.4583330
   46      0.0000000    -9.4375000
   47      0.0000000   -10.4166670
   48      0.0000000   -11.3958330
   49      0.0000000   -12.3750000
   50      0.0000000   -13.3541670
   51      0.0000000   -14.3333330
   52      0.0000000   -15.3125000
   53      0.0000000   -16.2916660
   54      0.0000000   -17.2708340
   55      0.0000000   -18.2500000
   56      0.0000000   -19.2291660
   57      0.0000000   -20.2083340
   58      0.0000000   -21.1875000
   59      0.0000000   -22.1666660
   60      0.0000000   -23.1458340
   61      0.0000000   -24.1250000
   62      0.0000000   -25.1041660
   63      0.0000000   -26.0833340
   64      0.0000000   -27.0625000
   65      0.0000000   -28.0416660
   66      0.0000000   -29.0208340
   67      0.5000000    29.0000000
   68      0.5000000    28.0000000
   69      0.5000000    27.0000000
   70      0.5000000    26.0000000
   71      0.5000000    25.0000000
   72      0.5000000    24.0000000
   73      0.5000000    23.0000000
   74      0.5000000    22.0000000
   75      0.5000000    21.0000000
   76      0.5000000    20.0000000
   77      0.5000000    19.0000000
   78      0.5000000    18.0000000
   79      0.5000000    17.0000000
   80      0.5000000    16.0000000
   81      0.5000000    15.0000000
   82      0.5000000    14.0000000
   83      0.5000000    13.0000000
   84      0.5000000    12.0000000
   85      0.5000000    11.0000000
   86      0.5000000    10.0000000
   87      0.5000000     9.0000000
   88      0.5000000     8.0000000
   89      0.5000000     7.0000000
   90      1.4900000     6.0000000
   91      2.4800000     6.0000000
   92      3.4700000     6.0000000
   93      4.4600000     6.0000000
   94      5.4499998     6.0000000
   95      6.4400001     6.0000000
   96      7.4299998     6.0000000
   97      8.4200001     6.0000000
   98      9.4099999     6.0000000
   99     10.3999996     6.0000000
  100     11.3900003     6.0000000
  101     12.3800001     6.0000000
  102     13.3699999     6.0000000
  103     14.3599997     6.0000000
  104     15.3500004     6.0000000
  105     16.3400002     6.0000000
  106     17.3299999     6.0000000
  107     18.3199997     6.0000000
  108     19.3099995     6.0000000
  109     20.2999992     6.0000000
  110     21.2900009     6.0000000
  111     22.2800007     6.0000000
  112     23.2700005     6.0000000
  113     24.2600002     6.0000000
  114     25.2500000     6.0000000
  115     26.2399998     6.0000000
  116     27.2299995     6.0000000
  117     28.2199993     6.0000000
  118     29.2099991     6.0000000
  119     30.2000008     6.0000000
  120     31.1900005     6.0000000
  121     32.1800003     6.0000000
  122     33.1699982     6.0000000
  123     34.1599998     6.0000000
  124     35.1500015     6.0000000
  125     36.1399994     6.0000000
  126     37.1300011     6.0000000
  127     38.1199989     6.0000000
  128     39.1100006     6.0000000
  129     40.0999985     6.0000000
  130     41.0900002     6.0000000
  131     42.0800018     6.0000000
  132     43.0699997     6.0000000
  133     44.0600014     6.0000000
  134     45.0499992     6.0000000
  135     46.0400009     6.0000000
  136     47.0299988     6.0000000
  137     48.0200005     6.0000000
  138     49.0099983     6.0000000
  139     50.0000000     7.0000000
  140     50.0000000     8.0000000
  141     50.0000000     9.0000000
  142     50.0000000    10.0000000
  143     50.0000000    11.0000000
  144     50.0000000    12.0000000
  145     50.0000000    13.0000000
  146     50.0000000    14.0000000
  147     50.0000000    15.0000000
  148     50.0000000    16.0000000
  149     50.0000000    17.0000000
  150     50.0000000    18.0000000
  151     50.0000000    19.0000000
  152     50.0000000    20.0000000
  153     50.0000000    21.0000000
  154     50.0000000    22.0000000
  155     50.0000000    23.0000000
  156     50.0000000    24.0000000
  157     50.0000000    25.0000000
  158     50.0000000    26.0000000
  159     50.0000000    27.0000000
  160     50.0000000    28.0000000
  161     50.0000000    29.0000000
  162     49.0099983    30.0000000
  163     48.0200005    30.0000000
  164     47.0299988    30.0000000
  165     46.0400009    30.0000000
