 10630  10501
    1     -0.5000000     0.0000000
    2      0.0000000     0.0000000
    3      0.0000000     0.5000000
    4     -0.5000000     0.5000000
    5      0.5000000     0.0000000
    6      0.5000000     0.5000000
    7      0.0000000    -0.5000000
    8     -0.5000000    -0.5000000
    9      0.5000000    -0.5000000
   10     -0.4683507     0.0000000
   11     -0.4385160     0.0000000
   12     -0.4103917     0.0000000
   13     -0.3838799     0.0000000
   14     -0.3588880     0.0000000
   15     -0.3353289     0.0000000
   16     -0.3131205     0.0000000
   17     -0.2921853     0.0000000
   18     -0.2724504     0.0000000
   19     -0.2538469     0.0000000
   20     -0.2363100     0.0000000
   21     -0.2197785     0.0000000
   22     -0.2041948     0.0000000
   23     -0.1895045     0.0000000
   24     -0.1756565     0.0000000
   25     -0.1626024     0.0000000
   26     -0.1502966     0.0000000
   27     -0.1386964     0.0000000
   28     -0.1277613     0.0000000
   29     -0.1174530     0.0000000
   30     -0.1077358     0.0000000
   31     -0.0985757     0.0000000
   32     -0.0899407     0.0000000
   33     -0.0818008     0.0000000
   34     -0.0741275     0.0000000
   35     -0.0668942     0.0000000
   36     -0.0600756     0.0000000
   37     -0.0536479     0.0000000
   38     -0.0475887     0.0000000
   39     -0.0418769     0.0000000
   40     -0.0364926     0.0000000
   41     -0.0314169     0.0000000
   42     -0.0266322     0.0000000
   43     -0.0221219     0.0000000
   44     -0.0178701     0.0000000
   45     -0.0138622     0.0000000
   46     -0.0100839     0.0000000
   47     -0.0065223     0.0000000
   48     -0.0031649     0.0000000
   49      0.0000000     0.0021174
   50      0.0000000     0.0043191
   51      0.0000000     0.0066083
   52      0.0000000     0.0089887
   53      0.0000000     0.0114639
   54      0.0000000     0.0140375
   55      0.0000000     0.0167136
   56      0.0000000     0.0194961
   57      0.0000000     0.0223894
   58      0.0000000     0.0253979
   59      0.0000000     0.0285261
   60      0.0000000     0.0317787
   61      0.0000000     0.0351609
   62      0.0000000     0.0386776
   63      0.0000000     0.0423343
   64      0.0000000     0.0461365
   65      0.0000000     0.0500901
   66      0.0000000     0.0542010
   67      0.0000000     0.0584755
   68      0.0000000     0.0629201
   69      0.0000000     0.0675416
   70      0.0000000     0.0723471
   71      0.0000000     0.0773438
   72      0.0000000     0.0825393
   73      0.0000000     0.0879416
   74      0.0000000     0.0935590
   75      0.0000000     0.0993999
   76      0.0000000     0.1054732
   77      0.0000000     0.1117883
   78      0.0000000     0.1183547
   79      0.0000000     0.1251824
   80      0.0000000     0.1322818
   81      0.0000000     0.1396638
   82      0.0000000     0.1473396
   83      0.0000000     0.1553209
   84      0.0000000     0.1636198
   85      0.0000000     0.1722490
   86      0.0000000     0.1812216
   87      0.0000000     0.1905514
   88      0.0000000     0.2002524
   89      0.0000000     0.2103395
   90      0.0000000     0.2208281
   91      0.0000000     0.2317341
   92      0.0000000     0.2430741
   93      0.0000000     0.2548655
   94      0.0000000     0.2671261
   95      0.0000000     0.2798747
   96      0.0000000     0.2931307
   97      0.0000000     0.3069142
   98      0.0000000     0.3212463
   99      0.0000000     0.3361488
  100      0.0000000     0.3516444
  101      0.0000000     0.3677567
  102      0.0000000     0.3845102
  103      0.0000000     0.4019305
  104      0.0000000     0.4200441
  105      0.0000000     0.4388785
  106      0.0000000     0.4584626
  107      0.0000000     0.4788261
  108     -0.0625000     0.5000000
  109     -0.1250000     0.5000000
  110     -0.1875000     0.5000000
  111     -0.2500000     0.5000000
  112     -0.3125000     0.5000000
  113     -0.3750000     0.5000000
  114     -0.4375000     0.5000000
  115     -0.5000000     0.4375000
  116     -0.5000000     0.3750000
  117     -0.5000000     0.3125000
  118     -0.5000000     0.2500000
  119     -0.5000000     0.1875000
  120     -0.5000000     0.1250000
  121     -0.5000000     0.0625000
  122      0.0039683     0.0000000
  123      0.0079365     0.0000000
  124      0.0119048     0.0000000
  125      0.0158730     0.0000000
  126      0.0198413     0.0000000
  127      0.0238095     0.0000000
  128      0.0277778     0.0000000
  129      0.0317460     0.0000000
  130      0.0357143     0.0000000
  131      0.0396825     0.0000000
  132      0.0436508     0.0000000
  133      0.0476190     0.0000000
  134      0.0515873     0.0000000
  135      0.0555556     0.0000000
  136      0.0595238     0.0000000
  137      0.0634921     0.0000000
  138      0.0674603     0.0000000
  139      0.0714286     0.0000000
  140      0.0753968     0.0000000
  141      0.0793651     0.0000000
  142      0.0833333     0.0000000
  143      0.0873016     0.0000000
  144      0.0912698     0.0000000
  145      0.0952381     0.0000000
  146      0.0992064     0.0000000
  147      0.1031746     0.0000000
  148      0.1071429     0.0000000
  149      0.1111111     0.0000000
  150      0.1150794     0.0000000
  151      0.1190476     0.0000000
  152      0.1230159     0.0000000
  153      0.1269841     0.0000000
  154      0.1309524     0.0000000
  155      0.1349206     0.0000000
  156      0.1388889     0.0000000
  157      0.1428571     0.0000000
  158      0.1468254     0.0000000
  159      0.1507937     0.0000000
  160      0.1547619     0.0000000
  161      0.1587302     0.0000000
  162      0.1626984     0.0000000
  163      0.1666667     0.0000000
  164      0.1706349     0.0000000
  165      0.1746032     0.0000000
  166      0.1785714     0.0000000
  167      0.1825397     0.0000000
  168      0.1865079     0.0000000
  169      0.1904762     0.0000000
  170      0.1944444     0.0000000
  171      0.1984127     0.0000000
  172      0.2023810     0.0000000
  173      0.2063492     0.0000000
  174      0.2103175     0.0000000
  175      0.2142857     0.0000000
  176      0.2182540     0.0000000
  177      0.2222222     0.0000000
  178      0.2261905     0.0000000
  179      0.2301587     0.0000000
  180      0.2341270     0.0000000
  181      0.2380952     0.0000000
  182      0.2420635     0.0000000
  183      0.2460317     0.0000000
  184      0.2500000     0.0000000
  185      0.2539683     0.0000000
  186      0.2579365     0.0000000
  187      0.2619048     0.0000000
  188      0.2658730     0.0000000
  189      0.2698413     0.0000000
  190      0.2738095     0.0000000
  191      0.2777778     0.0000000
  192      0.2817460     0.0000000
  193      0.2857143     0.0000000
  194      0.2896825     0.0000000
  195      0.2936508     0.0000000
  196      0.2976190     0.0000000
  197      0.3015873     0.0000000
  198      0.3055556     0.0000000
  199      0.3095238     0.0000000
  200      0.3134921     0.0000000
  201      0.3174603     0.0000000
  202      0.3214286     0.0000000
  203      0.3253968     0.0000000
  204      0.3293651     0.0000000
  205      0.3333333     0.0000000
  206      0.3373016     0.0000000
  207      0.3412699     0.0000000
  208      0.3452381     0.0000000
  209      0.3492064     0.0000000
  210      0.3531746     0.0000000
  211      0.3571429     0.0000000
  212      0.3611111     0.0000000
  213      0.3650794     0.0000000
  214      0.3690476     0.0000000
  215      0.3730159     0.0000000
  216      0.3769841     0.0000000
  217      0.3809524     0.0000000
  218      0.3849206     0.0000000
  219      0.3888889     0.0000000
  220      0.3928571     0.0000000
  221      0.3968254     0.0000000
  222      0.4007936     0.0000000
  223      0.4047619     0.0000000
  224      0.4087301     0.0000000
  225      0.4126984     0.0000000
  226      0.4166667     0.0000000
  227      0.4206349     0.0000000
  228      0.4246032     0.0000000
  229      0.4285714     0.0000000
  230      0.4325397     0.0000000
  231      0.4365079     0.0000000
  232      0.4404762     0.0000000
  233      0.4444444     0.0000000
  234      0.4484127     0.0000000
  235      0.4523810     0.0000000
  236      0.4563492     0.0000000
  237      0.4603175     0.0000000
  238      0.4642857     0.0000000
  239      0.4682540     0.0000000
  240      0.4722222     0.0000000
  241      0.4761905     0.0000000
  242      0.4801587     0.0000000
  243      0.4841270     0.0000000
  244      0.4880952     0.0000000
  245      0.4920635     0.0000000
  246      0.4960317     0.0000000
  247      0.5000000     0.0021174
  248      0.5000000     0.0043191
  249      0.5000000     0.0066083
  250      0.5000000     0.0089887
  251      0.5000000     0.0114639
  252      0.5000000     0.0140375
  253      0.5000000     0.0167136
  254      0.5000000     0.0194961
  255      0.5000000     0.0223894
  256      0.5000000     0.0253979
  257      0.5000000     0.0285261
  258      0.5000000     0.0317787
  259      0.5000000     0.0351609
  260      0.5000000     0.0386776
  261      0.5000000     0.0423343
  262      0.5000000     0.0461365
  263      0.5000000     0.0500901
  264      0.5000000     0.0542010
  265      0.5000000     0.0584755
  266      0.5000000     0.0629201
  267      0.5000000     0.0675416
  268      0.5000000     0.0723471
  269      0.5000000     0.0773438
  270      0.5000000     0.0825393
  271      0.5000000     0.0879416
  272      0.5000000     0.0935590
  273      0.5000000     0.0993999
  274      0.5000000     0.1054732
  275      0.5000000     0.1117883
  276      0.5000000     0.1183547
  277      0.5000000     0.1251824
  278      0.5000000     0.1322818
  279      0.5000000     0.1396638
  280      0.5000000     0.1473396
  281      0.5000000     0.1553209
  282      0.5000000     0.1636198
  283      0.5000000     0.1722490
  284      0.5000000     0.1812216
  285      0.5000000     0.1905514
  286      0.5000000     0.2002524
  287      0.5000000     0.2103395
