  7793   7600
    1      0.0000000    -0.5000000
    2      0.0000000     0.0000000
    3     -0.5000000     0.0000000
    4     -0.5000000    -0.5000000
    5      0.0000000     0.5000000
    6     -0.5000000     0.5000000
    7      0.5000000     0.0000000
    8      0.5000000    -0.5000000
    9      0.5000000     0.5000000
   10      0.0000000    -0.4916667
   11      0.0000000    -0.4833333
   12      0.0000000    -0.4750000
   13      0.0000000    -0.4666667
   14      0.0000000    -0.4583333
   15      0.0000000    -0.4500000
   16      0.0000000    -0.4416667
   17      0.0000000    -0.4333333
   18      0.0000000    -0.4250000
   19      0.0000000    -0.4166667
   20      0.0000000    -0.4083333
   21      0.0000000    -0.4000000
   22      0.0000000    -0.3916667
   23      0.0000000    -0.3833333
   24      0.0000000    -0.3750000
   25      0.0000000    -0.3666667
   26      0.0000000    -0.3583333
   27      0.0000000    -0.3500000
   28      0.0000000    -0.3416667
   29      0.0000000    -0.3333333
   30      0.0000000    -0.3250000
   31      0.0000000    -0.3166667
   32      0.0000000    -0.3083333
   33      0.0000000    -0.3000000
   34      0.0000000    -0.2916667
   35      0.0000000    -0.2833333
   36      0.0000000    -0.2750000
   37      0.0000000    -0.2666667
   38      0.0000000    -0.2583333
   39      0.0000000    -0.2500000
   40      0.0000000    -0.2416667
   41      0.0000000    -0.2333333
   42      0.0000000    -0.2250000
   43      0.0000000    -0.2166667
   44      0.0000000    -0.2083333
   45      0.0000000    -0.2000000
   46      0.0000000    -0.1916667
   47      0.0000000    -0.1833333
   48      0.0000000    -0.1750000
   49      0.0000000    -0.1666667
   50      0.0000000    -0.1583333
   51      0.0000000    -0.1500000
   52      0.0000000    -0.1416667
   53      0.0000000    -0.1333333
   54      0.0000000    -0.1250000
   55      0.0000000    -0.1166667
   56      0.0000000    -0.1083333
   57      0.0000000    -0.1000000
   58      0.0000000    -0.0916667
   59      0.0000000    -0.0833333
   60      0.0000000    -0.0750000
   61      0.0000000    -0.0666667
   62      0.0000000    -0.0583333
   63      0.0000000    -0.0500000
   64      0.0000000    -0.0416667
   65      0.0000000    -0.0333333
   66      0.0000000    -0.0250000
   67      0.0000000    -0.0166667
   68      0.0000000    -0.0083333
   69     -0.0312500     0.0000000
   70     -0.0625000     0.0000000
   71     -0.0937500     0.0000000
   72     -0.1250000     0.0000000
   73     -0.1562500     0.0000000
   74     -0.1875000     0.0000000
   75     -0.2187500     0.0000000
   76     -0.2500000     0.0000000
   77     -0.2812500     0.0000000
   78     -0.3125000     0.0000000
   79     -0.3437500     0.0000000
   80     -0.3750000     0.0000000
   81     -0.4062500     0.0000000
   82     -0.4375000     0.0000000
   83     -0.4687500     0.0000000
   84     -0.5000000    -0.0083333
   85     -0.5000000    -0.0166667
   86     -0.5000000    -0.0250000
   87     -0.5000000    -0.0333333
   88     -0.5000000    -0.0416667
   89     -0.5000000    -0.0500000
   90     -0.5000000    -0.0583333
   91     -0.5000000    -0.0666667
   92     -0.5000000    -0.0750000
   93     -0.5000000    -0.0833333
   94     -0.5000000    -0.0916667
   95     -0.5000000    -0.1000000
   96     -0.5000000    -0.1083333
   97     -0.5000000    -0.1166667
   98     -0.5000000    -0.1250000
   99     -0.5000000    -0.1333333
  100     -0.5000000    -0.1416667
  101     -0.5000000    -0.1500000
  102     -0.5000000    -0.1583333
  103     -0.5000000    -0.1666667
  104     -0.5000000    -0.1750000
  105     -0.5000000    -0.1833333
  106     -0.5000000    -0.1916667
  107     -0.5000000    -0.2000000
  108     -0.5000000    -0.2083333
  109     -0.5000000    -0.2166667
  110     -0.5000000    -0.2250000
  111     -0.5000000    -0.2333333
  112     -0.5000000    -0.2416667
  113     -0.5000000    -0.2500000
  114     -0.5000000    -0.2583333
  115     -0.5000000    -0.2666667
  116     -0.5000000    -0.2750000
  117     -0.5000000    -0.2833333
  118     -0.5000000    -0.2916667
  119     -0.5000000    -0.3000000
  120     -0.5000000    -0.3083333
  121     -0.5000000    -0.3166667
  122     -0.5000000    -0.3250000
  123     -0.5000000    -0.3333333
  124     -0.5000000    -0.3416667
  125     -0.5000000    -0.3500000
  126     -0.5000000    -0.3583333
  127     -0.5000000    -0.3666667
  128     -0.5000000    -0.3750000
  129     -0.5000000    -0.3833333
  130     -0.5000000    -0.3916667
  131     -0.5000000    -0.4000000
  132     -0.5000000    -0.4083333
  133     -0.5000000    -0.4166667
  134     -0.5000000    -0.4250000
  135     -0.5000000    -0.4333333
  136     -0.5000000    -0.4416667
  137     -0.5000000    -0.4500000
  138     -0.5000000    -0.4583333
  139     -0.5000000    -0.4666667
  140     -0.5000000    -0.4750000
  141     -0.5000000    -0.4833333
  142     -0.5000000    -0.4916667
