  3721   3600
    1      0.0000000     0.0000000
    2      0.0000000    -0.5000000
    3      0.5000000    -0.5000000
    4      0.5000000     0.0000000
    5     -0.5000000     0.0000000
    6     -0.5000000    -0.5000000
    7      0.0000000     0.5000000
    8      0.5000000     0.5000000
    9     -0.5000000     0.5000000
   10      0.0000000    -0.0166667
   11      0.0000000    -0.0333333
   12      0.0000000    -0.0500000
   13      0.0000000    -0.0666667
   14      0.0000000    -0.0833333
   15      0.0000000    -0.1000000
   16      0.0000000    -0.1166667
   17      0.0000000    -0.1333333
   18      0.0000000    -0.1500000
   19      0.0000000    -0.1666667
   20      0.0000000    -0.1833333
   21      0.0000000    -0.2000000
   22      0.0000000    -0.2166667
   23      0.0000000    -0.2333333
   24      0.0000000    -0.2500000
   25      0.0000000    -0.2666667
   26      0.0000000    -0.2833333
   27      0.0000000    -0.3000000
   28      0.0000000    -0.3166667
   29      0.0000000    -0.3333333
   30      0.0000000    -0.3500000
   31      0.0000000    -0.3666667
   32      0.0000000    -0.3833333
   33      0.0000000    -0.4000000
   34      0.0000000    -0.4166667
   35      0.0000000    -0.4333333
   36      0.0000000    -0.4500000
   37      0.0000000    -0.4666667
   38      0.0000000    -0.4833333
   39      0.0166667    -0.5000000
   40      0.0333333    -0.5000000
   41      0.0500000    -0.5000000
   42      0.0666667    -0.5000000
   43      0.0833333    -0.5000000
   44      0.1000000    -0.5000000
   45      0.1166667    -0.5000000
   46      0.1333333    -0.5000000
   47      0.1500000    -0.5000000
   48      0.1666667    -0.5000000
   49      0.1833333    -0.5000000
   50      0.2000000    -0.5000000
   51      0.2166667    -0.5000000
   52      0.2333333    -0.5000000
   53      0.2500000    -0.5000000
   54      0.2666667    -0.5000000
   55      0.2833333    -0.5000000
   56      0.3000000    -0.5000000
   57      0.3166667    -0.5000000
   58      0.3333333    -0.5000000
   59      0.3500000    -0.5000000
   60      0.3666667    -0.5000000
   61      0.3833333    -0.5000000
   62      0.4000000    -0.5000000
   63      0.4166667    -0.5000000
   64      0.4333333    -0.5000000
   65      0.4500000    -0.5000000
   66      0.4666667    -0.5000000
   67      0.4833333    -0.5000000
   68      0.5000000    -0.4833333
   69      0.5000000    -0.4666667
   70      0.5000000    -0.4500000
   71      0.5000000    -0.4333333
   72      0.5000000    -0.4166667
   73      0.5000000    -0.4000000
   74      0.5000000    -0.3833333
   75      0.5000000    -0.3666667
   76      0.5000000    -0.3500000
   77      0.5000000    -0.3333333
   78      0.5000000    -0.3166667
   79      0.5000000    -0.3000000
   80      0.5000000    -0.2833333
   81      0.5000000    -0.2666667
   82      0.5000000    -0.2500000
   83      0.5000000    -0.2333333
   84      0.5000000    -0.2166667
   85      0.5000000    -0.2000000
   86      0.5000000    -0.1833333
   87      0.5000000    -0.1666667
   88      0.5000000    -0.1500000
   89      0.5000000    -0.1333333
   90      0.5000000    -0.1166667
   91      0.5000000    -0.1000000
   92      0.5000000    -0.0833333
   93      0.5000000    -0.0666667
   94      0.5000000    -0.0500000
   95      0.5000000    -0.0333333
   96      0.5000000    -0.0166667
   97      0.4833333     0.0000000
   98      0.4666667     0.0000000
   99      0.4500000     0.0000000
  100      0.4333333     0.0000000
  101      0.4166667     0.0000000
  102      0.4000000     0.0000000
  103      0.3833333     0.0000000
  104      0.3666667     0.0000000
  105      0.3500000     0.0000000
  106      0.3333333     0.0000000
  107      0.3166667     0.0000000
  108      0.3000000     0.0000000
  109      0.2833333     0.0000000
  110      0.2666667     0.0000000
  111      0.2500000     0.0000000
  112      0.2333333     0.0000000
  113      0.2166667     0.0000000
  114      0.2000000     0.0000000
  115      0.1833333     0.0000000
  116      0.1666667     0.0000000
  117      0.1500000     0.0000000
  118      0.1333333     0.0000000
  119      0.1166667     0.0000000
  120      0.1000000     0.0000000
  121      0.0833333     0.0000000
  122      0.0666667     0.0000000
  123      0.0500000     0.0000000
  124      0.0333333     0.0000000
  125      0.0166667     0.0000000
  126     -0.0166667     0.0000000
  127     -0.0333333     0.0000000
  128     -0.0500000     0.0000000
  129     -0.0666667     0.0000000
  130     -0.0833333     0.0000000
  131     -0.1000000     0.0000000
  132     -0.1166667     0.0000000
  133     -0.1333333     0.0000000
  134     -0.1500000     0.0000000
  135     -0.1666667     0.0000000
  136     -0.1833333     0.0000000
  137     -0.2000000     0.0000000
  138     -0.2166667     0.0000000
  139     -0.2333333     0.0000000
  140     -0.2500000     0.0000000
  141     -0.2666667     0.0000000
  142     -0.2833333     0.0000000
