 14641  14400
    1      0.0000000     0.0000000
    2      0.0000000    -0.5000000
    3      0.5000000    -0.5000000
    4      0.5000000     0.0000000
    5     -0.5000000     0.0000000
    6     -0.5000000    -0.5000000
    7      0.0000000     0.5000000
    8      0.5000000     0.5000000
    9     -0.5000000     0.5000000
   10      0.0000000    -0.0083333
   11      0.0000000    -0.0166667
   12      0.0000000    -0.0250000
   13      0.0000000    -0.0333333
   14      0.0000000    -0.0416667
   15      0.0000000    -0.0500000
   16      0.0000000    -0.0583333
   17      0.0000000    -0.0666667
   18      0.0000000    -0.0750000
   19      0.0000000    -0.0833333
   20      0.0000000    -0.0916667
   21      0.0000000    -0.1000000
   22      0.0000000    -0.1083333
   23      0.0000000    -0.1166667
   24      0.0000000    -0.1250000
   25      0.0000000    -0.1333333
   26      0.0000000    -0.1416667
   27      0.0000000    -0.1500000
   28      0.0000000    -0.1583333
   29      0.0000000    -0.1666667
   30      0.0000000    -0.1750000
   31      0.0000000    -0.1833333
   32      0.0000000    -0.1916667
   33      0.0000000    -0.2000000
   34      0.0000000    -0.2083333
   35      0.0000000    -0.2166667
   36      0.0000000    -0.2250000
   37      0.0000000    -0.2333333
   38      0.0000000    -0.2416667
   39      0.0000000    -0.2500000
   40      0.0000000    -0.2583333
   41      0.0000000    -0.2666667
   42      0.0000000    -0.2750000
   43      0.0000000    -0.2833333
   44      0.0000000    -0.2916667
   45      0.0000000    -0.3000000
   46      0.0000000    -0.3083333
   47      0.0000000    -0.3166667
   48      0.0000000    -0.3250000
   49      0.0000000    -0.3333333
   50      0.0000000    -0.3416667
   51      0.0000000    -0.3500000
   52      0.0000000    -0.3583333
   53      0.0000000    -0.3666667
   54      0.0000000    -0.3750000
   55      0.0000000    -0.3833333
   56      0.0000000    -0.3916667
   57      0.0000000    -0.4000000
   58      0.0000000    -0.4083333
   59      0.0000000    -0.4166667
   60      0.0000000    -0.4250000
   61      0.0000000    -0.4333333
   62      0.0000000    -0.4416667
   63      0.0000000    -0.4500000
   64      0.0000000    -0.4583333
   65      0.0000000    -0.4666667
   66      0.0000000    -0.4750000
   67      0.0000000    -0.4833333
   68      0.0000000    -0.4916667
   69      0.0083333    -0.5000000
   70      0.0166667    -0.5000000
   71      0.0250000    -0.5000000
   72      0.0333333    -0.5000000
   73      0.0416667    -0.5000000
   74      0.0500000    -0.5000000
   75      0.0583333    -0.5000000
   76      0.0666667    -0.5000000
   77      0.0750000    -0.5000000
   78      0.0833333    -0.5000000
   79      0.0916667    -0.5000000
   80      0.1000000    -0.5000000
   81      0.1083333    -0.5000000
   82      0.1166667    -0.5000000
   83      0.1250000    -0.5000000
   84      0.1333333    -0.5000000
   85      0.1416667    -0.5000000
   86      0.1500000    -0.5000000
   87      0.1583333    -0.5000000
   88      0.1666667    -0.5000000
   89      0.1750000    -0.5000000
   90      0.1833333    -0.5000000
   91      0.1916667    -0.5000000
   92      0.2000000    -0.5000000
   93      0.2083333    -0.5000000
   94      0.2166667    -0.5000000
   95      0.2250000    -0.5000000
   96      0.2333333    -0.5000000
   97      0.2416667    -0.5000000
   98      0.2500000    -0.5000000
   99      0.2583333    -0.5000000
  100      0.2666667    -0.5000000
  101      0.2750000    -0.5000000
  102      0.2833333    -0.5000000
  103      0.2916667    -0.5000000
  104      0.3000000    -0.5000000
  105      0.3083333    -0.5000000
  106      0.3166667    -0.5000000
  107      0.3250000    -0.5000000
  108      0.3333333    -0.5000000
  109      0.3416667    -0.5000000
  110      0.3500000    -0.5000000
  111      0.3583333    -0.5000000
  112      0.3666667    -0.5000000
  113      0.3750000    -0.5000000
  114      0.3833333    -0.5000000
  115      0.3916667    -0.5000000
  116      0.4000000    -0.5000000
  117      0.4083333    -0.5000000
  118      0.4166667    -0.5000000
  119      0.4250000    -0.5000000
  120      0.4333333    -0.5000000
  121      0.4416667    -0.5000000
  122      0.4500000    -0.5000000
  123      0.4583333    -0.5000000
  124      0.4666667    -0.5000000
  125      0.4750000    -0.5000000
  126      0.4833333    -0.5000000
  127      0.4916667    -0.5000000
  128      0.5000000    -0.4916667
  129      0.5000000    -0.4833333
  130      0.5000000    -0.4750000
  131      0.5000000    -0.4666667
  132      0.5000000    -0.4583333
  133      0.5000000    -0.4500000
  134      0.5000000    -0.4416667
  135      0.5000000    -0.4333333
  136      0.5000000    -0.4250000
  137      0.5000000    -0.4166667
  138      0.5000000    -0.4083333
  139      0.5000000    -0.4000000
  140      0.5000000    -0.3916667
  141      0.5000000    -0.3833333
