 10201  10000
    1      0.0000000     0.0000000
    2      0.0000000    -0.5000000
    3      0.5000000    -0.5000000
    4      0.5000000     0.0000000
    5     -0.5000000     0.0000000
    6     -0.5000000    -0.5000000
    7      0.0000000     0.5000000
    8      0.5000000     0.5000000
    9     -0.5000000     0.5000000
   10      0.0000000    -0.0100000
   11      0.0000000    -0.0200000
   12      0.0000000    -0.0300000
   13      0.0000000    -0.0400000
   14      0.0000000    -0.0500000
   15      0.0000000    -0.0600000
   16      0.0000000    -0.0700000
   17      0.0000000    -0.0800000
   18      0.0000000    -0.0900000
   19      0.0000000    -0.1000000
   20      0.0000000    -0.1100000
   21      0.0000000    -0.1200000
   22      0.0000000    -0.1300000
   23      0.0000000    -0.1400000
   24      0.0000000    -0.1500000
   25      0.0000000    -0.1600000
   26      0.0000000    -0.1700000
   27      0.0000000    -0.1800000
   28      0.0000000    -0.1900000
   29      0.0000000    -0.2000000
   30      0.0000000    -0.2100000
   31      0.0000000    -0.2200000
   32      0.0000000    -0.2300000
   33      0.0000000    -0.2400000
   34      0.0000000    -0.2500000
   35      0.0000000    -0.2600000
   36      0.0000000    -0.2700000
   37      0.0000000    -0.2800000
   38      0.0000000    -0.2900000
   39      0.0000000    -0.3000000
   40      0.0000000    -0.3100000
   41      0.0000000    -0.3200000
   42      0.0000000    -0.3300000
   43      0.0000000    -0.3400000
   44      0.0000000    -0.3500000
   45      0.0000000    -0.3600000
   46      0.0000000    -0.3700000
   47      0.0000000    -0.3800000
   48      0.0000000    -0.3900000
   49      0.0000000    -0.4000000
   50      0.0000000    -0.4100000
   51      0.0000000    -0.4200000
   52      0.0000000    -0.4300000
   53      0.0000000    -0.4400000
   54      0.0000000    -0.4500000
   55      0.0000000    -0.4600000
   56      0.0000000    -0.4700000
   57      0.0000000    -0.4800000
   58      0.0000000    -0.4900000
   59      0.0100000    -0.5000000
   60      0.0200000    -0.5000000
   61      0.0300000    -0.5000000
   62      0.0400000    -0.5000000
   63      0.0500000    -0.5000000
   64      0.0600000    -0.5000000
   65      0.0700000    -0.5000000
   66      0.0800000    -0.5000000
   67      0.0900000    -0.5000000
   68      0.1000000    -0.5000000
   69      0.1100000    -0.5000000
   70      0.1200000    -0.5000000
   71      0.1300000    -0.5000000
   72      0.1400000    -0.5000000
   73      0.1500000    -0.5000000
   74      0.1600000    -0.5000000
   75      0.1700000    -0.5000000
   76      0.1800000    -0.5000000
   77      0.1900000    -0.5000000
   78      0.2000000    -0.5000000
   79      0.2100000    -0.5000000
   80      0.2200000    -0.5000000
   81      0.2300000    -0.5000000
   82      0.2400000    -0.5000000
   83      0.2500000    -0.5000000
   84      0.2600000    -0.5000000
   85      0.2700000    -0.5000000
   86      0.2800000    -0.5000000
   87      0.2900000    -0.5000000
   88      0.3000000    -0.5000000
   89      0.3100000    -0.5000000
   90      0.3200000    -0.5000000
   91      0.3300000    -0.5000000
   92      0.3400000    -0.5000000
   93      0.3500000    -0.5000000
   94      0.3600000    -0.5000000
   95      0.3700000    -0.5000000
   96      0.3800000    -0.5000000
   97      0.3900000    -0.5000000
   98      0.4000000    -0.5000000
   99      0.4100000    -0.5000000
  100      0.4200000    -0.5000000
  101      0.4300000    -0.5000000
  102      0.4400000    -0.5000000
  103      0.4500000    -0.5000000
  104      0.4600000    -0.5000000
  105      0.4700000    -0.5000000
  106      0.4800000    -0.5000000
  107      0.4900000    -0.5000000
  108      0.5000000    -0.4900000
  109      0.5000000    -0.4800000
  110      0.5000000    -0.4700000
  111      0.5000000    -0.4600000
  112      0.5000000    -0.4500000
  113      0.5000000    -0.4400000
  114      0.5000000    -0.4300000
  115      0.5000000    -0.4200000
  116      0.5000000    -0.4100000
  117      0.5000000    -0.4000000
  118      0.5000000    -0.3900000
  119      0.5000000    -0.3800000
  120      0.5000000    -0.3700000
  121      0.5000000    -0.3600000
  122      0.5000000    -0.3500000
  123      0.5000000    -0.3400000
  124      0.5000000    -0.3300000
  125      0.5000000    -0.3200000
  126      0.5000000    -0.3100000
  127      0.5000000    -0.3000000
  128      0.5000000    -0.2900000
  129      0.5000000    -0.2800000
  130      0.5000000    -0.2700000
  131      0.5000000    -0.2600000
  132      0.5000000    -0.2500000
  133      0.5000000    -0.2400000
  134      0.5000000    -0.2300000
  135      0.5000000    -0.2200000
  136      0.5000000    -0.2100000
  137      0.5000000    -0.2000000
  138      0.5000000    -0.1900000
  139      0.5000000    -0.1800000
  140      0.5000000    -0.1700000
  141      0.5000000    -0.1600000
