 19481  19200
    1     -0.5000000     0.0000000
    2     -2.0000000     0.0000000
    3     -2.0000000    -2.0000000
    4     -0.5000000    -2.0000000
    5     -0.5000000     2.0000000
    6     -2.0000000     2.0000000
    7      0.5000000    -2.0000000
    8      0.5000000     0.0000000
    9      0.5000000     2.0000000
   10      2.0000000     0.0000000
   11      2.0000000    -2.0000000
   12      2.0000000     2.0000000
   13     -0.5250000     0.0000000
   14     -0.5500000     0.0000000
   15     -0.5750000     0.0000000
   16     -0.6000000     0.0000000
   17     -0.6250000     0.0000000
   18     -0.6500000     0.0000000
   19     -0.6750000     0.0000000
   20     -0.7000000     0.0000000
   21     -0.7250000     0.0000000
   22     -0.7500000     0.0000000
   23     -0.7750000     0.0000000
   24     -0.8000000     0.0000000
   25     -0.8250000     0.0000000
   26     -0.8500000     0.0000000
   27     -0.8750000     0.0000000
   28     -0.9000000     0.0000000
   29     -0.9250000     0.0000000
   30     -0.9500000     0.0000000
   31     -0.9750000     0.0000000
   32     -1.0000000     0.0000000
   33     -1.0250000     0.0000000
   34     -1.0499999     0.0000000
   35     -1.0750001     0.0000000
   36     -1.1000000     0.0000000
   37     -1.1250000     0.0000000
   38     -1.1500000     0.0000000
   39     -1.1749999     0.0000000
   40     -1.2000001     0.0000000
   41     -1.2250000     0.0000000
   42     -1.2500000     0.0000000
   43     -1.2750000     0.0000000
   44     -1.2999999     0.0000000
   45     -1.3250001     0.0000000
   46     -1.3500000     0.0000000
   47     -1.3750000     0.0000000
   48     -1.4000000     0.0000000
   49     -1.4249999     0.0000000
   50     -1.4500001     0.0000000
   51     -1.4750000     0.0000000
   52     -1.5000000     0.0000000
   53     -1.5250000     0.0000000
   54     -1.5499999     0.0000000
   55     -1.5750001     0.0000000
   56     -1.6000000     0.0000000
   57     -1.6250000     0.0000000
   58     -1.6500000     0.0000000
   59     -1.6749999     0.0000000
   60     -1.7000001     0.0000000
   61     -1.7250000     0.0000000
   62     -1.7500000     0.0000000
   63     -1.7750000     0.0000000
   64     -1.7999999     0.0000000
   65     -1.8250001     0.0000000
   66     -1.8500000     0.0000000
   67     -1.8750000     0.0000000
   68     -1.9000000     0.0000000
   69     -1.9249999     0.0000000
   70     -1.9500001     0.0000000
   71     -1.9750000     0.0000000
   72     -2.0000000    -0.0333333
   73     -2.0000000    -0.0666667
   74     -2.0000000    -0.1000000
   75     -2.0000000    -0.1333333
   76     -2.0000000    -0.1666667
   77     -2.0000000    -0.2000000
   78     -2.0000000    -0.2333333
   79     -2.0000000    -0.2666667
   80     -2.0000000    -0.3000000
   81     -2.0000000    -0.3333333
   82     -2.0000000    -0.3666667
   83     -2.0000000    -0.4000000
   84     -2.0000000    -0.4333333
   85     -2.0000000    -0.4666667
   86     -2.0000000    -0.5000000
   87     -2.0000000    -0.5333334
   88     -2.0000000    -0.5666667
   89     -2.0000000    -0.6000000
   90     -2.0000000    -0.6333333
   91     -2.0000000    -0.6666667
   92     -2.0000000    -0.7000000
   93     -2.0000000    -0.7333333
   94     -2.0000000    -0.7666667
   95     -2.0000000    -0.8000000
   96     -2.0000000    -0.8333333
   97     -2.0000000    -0.8666667
   98     -2.0000000    -0.9000000
   99     -2.0000000    -0.9333333
  100     -2.0000000    -0.9666666
  101     -2.0000000    -1.0000000
